CVE_ENT,corrupcion,inseguridad,servicios,violencia,sobrepoblacion_rel,ddhh,presup_pi,interno_pt,indice
1,0.937673052205974,0.20220744384049494,0.6837485067507842,0.9890322580645161,0.9486219292989815,0.8687686408180656,0.10920799298439132,0.993670637336033,0.7231771158763766
2,0.9801956687726813,0.7658650960584233,0.227940326172007,0.7350229684777443,0.9043089674455762,0.8423519386450787,0.267569438293063,0.3722818432615119,0.675725408310305
3,0.8637106480267809,0.20061531461933102,0.5319787371499974,0.6753945666235446,0.8943728779708409,0.22368981678738842,0.7182509080982297,0.9499576889723618,0.6039675731276997
4,0.9739419558354764,0.669433788487778,0.6795627696040483,0.6973809523809524,0.9219342919912124,0.6672347677886662,0.3659586528376144,0.5788410333086724,0.7058283944480856
5,1.0,1.0,0.7202838992419569,0.34071850841291496,0.9639255042939884,0.9006391137622495,0.42439459468767404,0.4453086893340472,0.7415949120820413
6,0.9536672480159444,0.5628942790152847,0.33566651364153155,0.5104682274247492,1.0,0.7349808265871325,0.5025839715960643,0.7544528350061628,0.6735719191808425
7,0.9446075782486578,0.7964047449913685,0.4805613331659163,0.7419087502755124,0.8710055921709606,0.49876438005965085,0.11024042674628487,0.9875925459922181,0.6921928078438164
8,0.8733522330645697,0.6997092964856071,1.0,0.633800350262697,0.8549281006590773,0.7817274331973947,0.3957053069085057,0.5726324930625983,0.7306149870145584
9,0.0,0.04266599649754166,0.001417695988877532,0.9954582478089467,0.7969842220890753,0.680133245535887,0.6655394031739785,0.7633438383995957,0.480467139441509
10,0.9922071817975109,0.8789923782755953,0.8731888899198512,0.7168584969532836,0.7896444977032155,0.6665956540264166,0.06760953499195388,0.48337424837987975,0.709579773757411
11,0.9587471786030249,0.3457274682332043,0.6629852948712249,0.7979259589652097,0.829488715797883,0.9829569663400082,0.9186464127554546,1.0,0.8039156781636734
12,0.9596382950617559,0.8232394901745406,0.2867629609551946,0.9891798188874514,0.6840673057719193,0.0,0.034123944231716385,0.5361332723006939,0.5699173889445146
13,0.8874501134707831,0.6997544462875085,0.3717471190325392,0.9328701155751238,0.7660025963650889,0.14955262036642547,0.18812476998015004,0.20147928743082288,0.5531794716358363
14,0.9721839622503825,0.8396460724216442,0.6545803967684296,0.9567672143252723,0.6069752346714599,0.7085641244141458,0.5992348754419163,0.5238630576426082,0.7600395624641582
15,0.3714543118895569,0.0,0.0,0.989259986902423,0.0,0.5575202386024711,0.3325374221511155,0.4707084684646491,0.36805976967074416
16,0.8531859829877063,0.539100674362242,0.6416924213877295,0.9580625752105897,0.9880667066107449,0.5602897315722197,0.6914001484959389,0.9927925452753887,0.7679910267968939
17,0.7630666888124364,0.4147928816319094,0.45636330161124683,0.13635253054101226,0.6976732574395845,0.7136770345121431,0.4447518431304359,0.8587396100542747,0.5499361715481794
18,0.9214133791562907,0.6754972675825146,0.69633443278688,0.7670194986072423,0.6018823646894348,0.8010225820195995,0.37273087757805534,0.5528462718634322,0.6971223037966273
19,0.9850456414729987,0.8245727477946826,0.812119621808193,0.8757405375754251,0.869357898941482,0.20494247976139757,0.5383076976557155,0.663135787087404,0.721837311539955
20,0.9311020868721198,0.4511767108661493,0.43206695829374275,0.7047665220719571,0.8842370681046535,0.5171708564124413,0.3508998847795114,0.760684073850686,0.6334212249362595
21,0.5966157666157637,0.20102075591349033,0.14835866249192808,0.4513138097796884,0.807844018374276,0.5560289731572219,0.526576854499181,0.8462508133698818,0.5036499306934513
22,0.946502829306247,0.34427668834323033,0.692792524549336,0.9732309169467115,0.9607050129818254,1.0,0.8288725147153368,0.8029737675213743,0.8181359471662155
23,0.9419864068534671,0.749126671579107,0.42678626977127954,0.9322914285714285,0.7772368683842621,0.20835108649339595,0.1943178988439812,0.0,0.564597442724562
24,0.9128301503264019,0.38607582722475964,0.5807093834421874,1.0,0.908328340323547,0.5975713677034512,0.10971611107735946,0.9423718611964934,0.6885841713921506
25,0.851973304435679,0.7879717169916072,0.5606309621811173,0.8093587137312881,0.9151687637307769,0.4448231785257776,0.0,0.47581718356402225,0.6292807280002444
26,0.7627987085552403,0.3817394663407583,0.612369234288811,0.8296396059359022,0.8618683842620332,0.6050276949296975,0.4759514437068366,0.5234092277424705,0.6342406503642548
27,0.8205371362748459,0.40248559572078313,0.2991345296710005,0.9037391304347826,0.8246954264030357,0.4261610566680869,0.44787391183300485,0.8792404253476036,0.6280328671902393
28,0.973011226116565,0.8784189616187613,0.8840035006033132,0.8523565754633715,0.9163670860794887,0.12782275244993602,0.09615113278123788,0.5986560020358094,0.67425919949728
29,0.9484033096785223,0.26436988588959986,0.4117957081960961,0.0,0.945176752546435,0.7094162760971453,0.8220851105387018,0.9063675430674625,0.5968709321846597
30,0.8863923812275823,0.7285685638489272,0.7622152393808219,0.7789181534975927,0.8631416017575395,0.5130805283340433,0.2643615916054821,0.5239061883167224,0.6774064061422784
31,0.9228812081590143,0.6613208618397408,0.9078281745690917,0.990517006802721,0.9951567805072898,0.6640391989774179,1.0,0.9801889156124489,0.8741311284357172
32,0.9213750532479972,0.4247434621172673,0.5099573846439827,0.9636031331592689,0.945076892350709,0.33361738389433326,0.7157754854806834,0.877759391491437,0.7013577702595112
